x(nm),y(nm),z(nm),cluster label (-1 is noise)
10396.29,18737.31,64.56114,5
10386.76,18745.1,54.06007,5
10397.39,18747.56,42.83571,5
10330.92,18755.85,47.72575,4
10323.19,18761.2,51.78808,4
10315.8,18773.5,53.12537,4
10388.54,18770.41,7.799976,6
10324.6,18757.09,16.75713,-1
10380.23,18707.28,22.90848,2
10380.28,18707.07,6.192276,2
10379.31,18706.09,18.6473,2
10386.17,18704.32,3.214965,-1
10378.7,18704.92,33.1678,-1
10374.38,18702.19,15.73919,2
10378.2,18703.61,11.59497,2
10353.72,18699.06,11.96066,-1
10380.77,18703.94,7.560636,2
10380.32,18696.64,20.35464,-1
10368.87,18765.49,42.76834,3
10371.97,18765.81,52.84686,3
10370.71,18761.61,74.72601,-1
10372.43,18760.92,43.57816,3
10370.88,18762.59,60.19167,3
10370.55,18754.67,53.48001,3
10375.58,18759.79,36.472,3
10288.39,18768.01,31.03679,1
10288,18770.27,22.65539,1
10288.85,18769.94,18.19631,1
10286.7,18768.62,27.23096,1
10284.07,18769.06,20.99045,1
10291.4,18769.97,39.46095,-1
10283.84,18776.06,14.99995,1
10289.62,18773.87,42.92648,-1
10384.46,18709.58,25.08943,2
10379.79,18711.86,27.7247,2
10340.85,18767.32,-125.8282,-1
10391.82,18748.01,66.21429,5
10389.01,18750.36,63.02063,5
10315.34,18765.18,47.38798,4
10315.85,18776.97,33.62141,4
10376.29,18765.69,47.42914,3
10286.21,18768,46.25287,-1
10371.63,18761.26,30.63373,3
10367.32,18762.47,30.59935,3
10371.36,18764.06,25.58801,3
10317.41,18786.54,39.02984,-1
10314.42,18775.92,48.38741,4
10313.78,18779.85,48.08571,4
10308.09,18781.18,37.53696,4
10397.76,18741.62,94.78339,-1
10323.58,18780.57,66.79898,-1
10311.06,18773.8,66.78411,4
10313.1,18776.47,68.03889,4
10311.66,18776.98,41.10856,4
10310.89,18776.32,42.8609,4
10304.42,18780.9,78.65506,-1
10409.28,18757.85,61.23028,-1
10397.88,18758.12,41.55733,-1
10398.02,18765.49,50.00178,-1
10393.46,18767.69,16.37874,6
10392.22,18763.41,56.7239,-1
10322.34,18771.36,40.74088,4
10314.29,18773.7,56.81297,4
10317.81,18772.24,47.37238,4
10396.21,18744.57,73.42577,5
10395.41,18737.56,44.00402,5
10395.66,18739.84,50.96359,5
10397.53,18745.72,68.93324,5
10291.5,18768.24,14.2836,1
10285.68,18774.19,4.523477,1
10296.51,18752.6,4.564354,-1
10328.66,18760.63,45.93662,4
10327.88,18759.19,53.49797,4
10328.04,18759.42,59.24289,4
10326.71,18758.27,32.9843,4
10329.04,18758.22,39.94763,4
10323.04,18761.27,28.46503,4
10335.42,18753.08,52.15272,4
10334.51,18759.48,38.8701,4
10334.99,18750.96,37.58812,-1
10316.35,18772.6,8.985022,-1
10399.34,18740.26,75.96611,5
10384.61,18741.93,47.71904,5
10392.44,18739.09,60.71031,5
10391.26,18742.45,50.68199,5
10401.22,18740.11,42.95868,5
10399,18766.04,-14.41508,-1
10389.24,18777.46,21.18756,6
10391.98,18775.52,13.23385,6
10389.58,18772.22,12.63755,6
10390.19,18777.34,23.2588,6
10327.85,18759.97,50.09215,4
10323.71,18760.67,54.09373,4
10324.52,18762.64,31.31878,4
10334.6,18750.03,63.21706,-1
10329.04,18759.93,62.87906,4
10401.81,18732.58,73.97017,-1
10392.43,18737.35,59.28951,5
10309.33,18773.88,40.89539,4
10311.86,18777,29.64111,4
10313.74,18778.32,59.41782,4
10311.18,18774.57,46.68843,4
10313.37,18774.84,56.68686,4
10311.96,18769.73,64.40498,4
10402.25,18777.16,11.37117,-1
10389.85,18769.72,42.36697,8
10331.44,18749.64,87.68687,-1
10308.95,18772.34,35.94018,4
10319.96,18771.8,53.76945,4
10287.55,18766.31,-2.230659,1
10332.35,18754.89,49.66274,4
